ID_GRAFIC,LEVEL,TYPE,COLOR,STYLE,WEIGHT,HEIGHT,ORIENTX,ORIENTY,ORIENTZ,MAPX,MAPY,CODI_SIMB,MIDASX,MIDASY,FONT,JUSTIF,SIZE,NUM_C,TEXT,CAS,FONT_ENTIT,MAPX_1,MAPY_1,MAPZ
91,0,2,46,0,0,619.73,0.00,0.00,0.00,459872.340000,4669825.560000,COTA,0.00100,0.00000,34,1,5.00,5,619.7,COT01,/POSE/X1.94/Y-7.83/m,459872.340000000,4669825.56000000,619.730000000000
92,0,2,46,0,0,623.84,0.00,0.00,0.00,459896.130000,4669738.050000,COTA,0.00100,0.00000,34,1,5.00,5,623.8,COT01,/POSE/X-22.04/Y-3.40/m,459896.130000000,4669738.05000000,623.840000000000
93,0,2,46,0,0,625.67,0.00,0.00,0.00,459897.920000,4669724.220000,COTA,0.00100,0.00000,34,1,5.00,5,625.7,COT01,/POSE/X-6.47/Y-9.14/m,459897.920000000,4669724.22000000,625.670000000000
94,0,2,46,0,0,628.05,0.00,0.00,0.00,459909.830000,4669680.590000,COTA,0.00100,0.00000,34,1,5.00,5,628.1,COT01,/POSE/X0.00/Y-7.50/m,459909.830000000,4669680.59000000,628.050000000000
95,0,2,46,0,0,633.93,0.00,0.00,0.00,460024.440000,4669665.270000,COTA,0.00100,0.00000,34,1,5.00,5,633.9,COT01,/POSE/X0.00/Y-7.50/m,460024.440000000,4669665.27000000,633.930000000000
96,0,2,46,0,0,635.72,0.00,0.00,0.00,460018.750000,4669599.870000,COTA,0.00100,0.00000,34,1,5.00,5,635.7,COT01,/POSE/X-20.10/Y-8.33/m,460018.750000000,4669599.87000000,635.720000000000
97,0,2,46,0,0,627.31,0.00,0.00,0.00,459939.700000,4669602.930000,COTA,0.00100,0.00000,34,1,5.00,5,627.3,COT01,/POSE/X-9.60/Y-9.46/m,459939.700000000,4669602.93000000,627.310000000000
98,0,2,46,0,0,628.56,0.00,0.00,0.00,459882.740000,4669651.830000,COTA,0.00100,0.00000,34,1,5.00,5,628.6,COT01,/POSE/X-19.95/Y-5.86/m,459882.740000000,4669651.83000000,628.560000000000
99,0,2,46,0,0,636.64,0.00,0.00,0.00,460119.070000,4669825.200000,COTA,0.00100,0.00000,34,1,5.00,5,636.6,COT01,/POSE/X-6.96/Y-9.59/m,460119.070000000,4669825.20000000,636.640000000000
100,0,2,46,0,0,638.99,0.00,0.00,0.00,460077.510000,4669624.920000,COTA,0.00100,0.00000,34,1,5.00,5,639.0,COT01,/POSE/X-4.65/Y-8.12/m,460077.510000000,4669624.92000000,638.990000000000
101,0,2,46,0,0,643.20,0.00,0.00,0.00,460152.820000,4669751.080000,COTA,0.00100,0.00000,34,1,5.00,5,643.2,COT01,/POSE/X0.00/Y-7.50/m,460152.820000000,4669751.08000000,643.200000000000
102,0,2,46,0,0,643.34,0.00,0.00,0.00,460211.100000,4669858.440000,COTA,0.00100,0.00000,34,1,5.00,5,643.3,COT01,/POSE/X0.00/Y-7.50/m,460211.100000000,4669858.44000000,643.340000000000
103,0,2,46,0,0,648.79,0.00,0.00,0.00,460205.620000,4669651.460000,COTA,0.00100,0.00000,34,1,5.00,5,648.8,COT01,/POSE/X0.00/Y-7.50/m,460205.620000000,4669651.46000000,648.790000000000
104,0,2,46,0,0,656.13,0.00,0.00,0.00,460319.310000,4669724.590000,COTA,0.00100,0.00000,34,1,5.00,5,656.1,COT01,/POSE/X0.00/Y-7.50/m,460319.310000000,4669724.59000000,656.130000000000
105,0,2,46,0,0,629.58,0.00,0.00,0.00,460026.580000,4669839.240000,COTA,0.00100,0.00000,34,1,5.00,5,629.6,COT01,/POSE/X0.00/Y-7.50/m,460026.580000000,4669839.24000000,629.580000000000
106,0,2,46,0,0,620.19,0.00,0.00,0.00,459925.270000,4669985.400000,COTA,0.00100,0.00000,34,1,5.00,5,620.2,COT01,/POSE/X0.00/Y-7.50/m,459925.270000000,4669985.40000000,620.190000000000
